# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.reclaimed,1761854726568000000,1761854737017000000,45
FilePageCache.totalPageDisposalsUs,1761854726568000000,1761854737017000000,873
FilePageCache.capacityInBytes,1761854726568000000,1761854737017000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761854726568000000,1761854737017000000,41959424
DirectByteBufferAllocator.hits,1761854726568000000,1761854737017000000,3
StorageLockContext.competingThreads.avg,1761854726568000000,1761854737017000000,0.0
StorageLockContext.competingThreads.max,1761854726568000000,1761854737017000000,0
FilePageCache.maxRegisteredFiles,1761854726568000000,1761854737017000000,520
FilePageCache.pageFastCacheHits,1761854726568000000,1761854737017000000,3743
StorageLockContext.competingThreads.90P,1761854726568000000,1761854737017000000,0
FilePageCache.pageLoads,1761854726568000000,1761854737017000000,191
FilePageCache.pageHits,1761854726568000000,1761854737017000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761854726568000000,1761854737017000000,41959424
FilePageCache.uncachedFileAccess,1761854726568000000,1761854737017000000,111
DirectByteBufferAllocator.disposed,1761854726568000000,1761854737017000000,146
FilePageCache.disposedBuffers,1761854726568000000,1761854737017000000,191
FilePageCache.pageLoadsAboveSizeThreshold,1761854726568000000,1761854737017000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761854726568000000,1761854737017000000,0
FilePageCache.totalPageLoadsUs,1761854726568000000,1761854737017000000,70180
FilePageCache.maxCacheSizeInBytes,1761854726568000000,1761854737017000000,195051520
DirectByteBufferAllocator.misses,1761854726568000000,1761854737017000000,188
VFS.fileByIdCache.misses,1761854726568000000,1761854737017000000,0
VFS.fileByIdCache.hits,1761854726568000000,1761854737017000000,0
VFS.invertedFileNameIndex.requests,1761854726568000000,1761854737017000000,0
VFS.fileChildByName,1761854726568000000,1761854737017000000,16
AWTEventQueue.dispatchTimeTotalNS,1761854726568000000,1761854737017000000,506228719
Indexing.writesQueuedMin,1761854726568000000,1761854737017000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1761854726568000000,1761854737017000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1761854726568000000,1761854737017000000,0
Indexing.cache.totalCacheEvicted,1761854726568000000,1761854737017000000,0
Indexing.totalTimeIndexersSleptMs,1761854726568000000,1761854737017000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1761854726568000000,1761854737017000000,0
Indexing.cache.totalCacheMisses,1761854726568000000,1761854737017000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1761854726568000000,1761854737017000000,0
Indexing.writesQueuedAvg,1761854726568000000,1761854737017000000,0.0
Indexing.writesQueuedMax,1761854726568000000,1761854737017000000,0
Indexing.cache.totalCacheAccesses,1761854726568000000,1761854737017000000,0
writeAction.wait.ms,1761854726568000000,1761854737017000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1761854726568000000,1761854737017000000,32580
DiskQueryRelay.tasksRequested,1761854726568000000,1761854737017000000,13
writeAction.count,1761854726568000000,1761854737017000000,1
writeAction.max.wait.ms,1761854726568000000,1761854737017000000,0
writeAction.median.wait.ms,1761854726568000000,1761854737017000000,0
DiskQueryRelay.tasksExecuted,1761854726568000000,1761854737017000000,13
DiskQueryRelay.taskExecutionTotalTimeUs,1761854726568000000,1761854737017000000,2816
workspaceModel.entityStorageSnapshotImpl.instances.count,1761854726568000000,1761854737017000000,2
